id,section,topic,search,priority,content
materials-list,Materiały,Lista materiałów,materiały | lista materiałów | co przygotować | potrzebne materiały ,3,"Potrzebne materiały:
włóczka Drops Muskat (100% bawełna), 3 kolory, po 1 motku z każdego,
szydełko 5 mm,
znacznik do oczek,
igła do wełny,
nożyczki."
materials-yarn,Materiały,Dobór włóczki,włóczka | wloczka | jaką włóczkę | zamienniki | inne włóczki | bawełna | wiskoza | bambus | muskat,3,"Dobierz dobry skład. Do projektów letnich najlepiej sprawdzą się naturalne włókna, które są przewiewne. Bawełna, bambus czy mieszanki z dodatkiem lnu albo wiskozy będą dobrym wyborem.

Jeżeli Twoja włóczka jest cieńsza lub grubsza niż Drops Muskat, wykonaj najpierw próbkę kwadratu. Docelowa długość boku kwadratu to 10-10,5 cm. Ilu rzędów potrzebujesz, żeby osiągnąć ten rozmiar? Pięciokąt powinien składać się z takiej samej liczby rzędów co kwadrat."
materials-hook,Materiały,Dobór szydełka,szydełko | szydelko | rozmiar szydełka | jakie szydełko | grubość szydełka | 5 mm,3,Dopasuj szydełko. Sprawdź sugerowany rozmiar szydełka na etykiecie włóczki i wybierz szydełko o ~1 mm większe. Dzięki temu robótka będzie bardziej miękka i lekko rozciągliwa.
materials-swatch,Materiały,Próbka,próbka | cieńsza włóczka | grubsza włóczka | rozmiar kwadratu | wielkość kwadratu | ile rzędów | liczba rzędów,2,"Zrób próbkę. Jeśli sięgasz po włóczkę cieńszą lub grubszą niż Drops Muskat, wydziergaj najpierw jeden kwadrat, by ocenić ilu rzędów będziesz potrzebowała. Docelowa długość boku kwadratu to 10-10,5 cm, włóczką Drops Muskat przerobiłam 5 rzędów kwadratu, by osiągnąć ten rozmiar."
customization,Modyfikacje,Modyfikacje,inny kwadrat | wzór kwadratu | wzór | kwadrat ze stokrotką,2,"Możesz zmienić wzór kwadratów (np. na stokrotkę), liczbę kolorów lub nawet grubość i skład włóczki. Kilka uwag, które pomogą Ci wprowadzać zmiany z sukcesem:"
construction,Konstrukcja,Budowa kapelusza,konstrukcja | budowa kapelusza | z czego składa się kapelusz | ile kwadratów,3,"Kapelusz składa się z 5 klasycznych babcinych kwadratów, jednego pięciokąta oraz rantu z półsłupków.

Kwadraty połączone są ze sobą metodą join-as-you-go. Dopiero po połączeniu tworzymy rant.

Uwaga! W metodzie łączenia join-as-you-go, ostatni rząd kwadratów przerabiany jest wspólnie dla wszystkich elementów. Docelowy kwadrat ma 5 rzędów, ale na start przerabiamy w każdym kwadracie tylko 4 rzędy. Ostatni rząd to ten, który wykonamy podczas łączenia.

W tym wzorze wyjątek stanowi pięciokąt - jego przerabiamy od razu w 5 rzędach.
"
square-1,Kwadrat,Jak zrobić kwadrat,kwadrat | granny square | jak zacząć | magiczne kółko,3,"Rząd 1: Zacznij od magicznego kółka. W magicznym kółku zrób 4 oczka łańcuszka. Alternatywnie, jeśli magiczne kółko sprawia Ci trudność, zacznij od 4 oczek łańcuszka, połącz je w okrąg i przerabiaj pierwszy rząd do środka okręgu.

Zacznij tworzyć “klastry” czyli zbitki 3 słupków. Zrób 3 słupki, 2 oczka łańcuszka, 3 słupki, 2 oczka łańcuszka, 3 słupki, 2 oczka łańcuszka, 2 słupki. Połącz oczkiem ścisłym pod łańcuszkiem z początku tego rzędu. Dodatkowe oczko, które tam zrobiłaś stworzy idealny róg naszego kwadratu - taki sam efekt jak dają w innych rogach dwa oczka łańcuszka. Zakończ, odetnij włóczkę.

Rząd 2: Przyłącz kolejny kolor w jednym w rogów kwadratu. Ja wykorzystuję do tego zawsze róg najbliższy do tego, w którym skończyłam rząd poprzedni, idąc zgodnie z ruchem wskazówek zegara. 

Zrób 4 oczka łańcuszka. W każdej przestrzeni między klastrami dodaj 3 słupki (klaster). Powiększaj kwadrat w każdym jego rogu dodając tam: 3 słupki, 2 oczka łańcuszka, 3 słupki. 

Uwaga! Ostatni klaster tego rzędu ma tylko 2 słupki, bo łączysz go oczkiem ścisłym z łańcuszkiem (tutaj jako 1 słupek). Zakończ, odetnij włóczkę.

Rzędy 3 i 4: Powtórz identycznie jak rząd 2. Dołącz nowy kolor w rogu robótki, w każdej przestrzeni między klastrami dodaj 3 słupki (klaster). Powiększaj w każdym rogu przez: 3 słupki, 2 oczka łańcuszka, 3 słupki. W ostatnim klastrze w rzędzie dodaj 2 słupki, połącz oczkiem ścisłym z łańcuszkiem. Zakończ, odetnij włóczkę.

Przygotuj 5 identycznych kwadratów."
pentagon-1,Pięciokąt,Jak zrobić pięciokąt,pięciokąt | pentagon | pięć rogów,3,"Przygotowujemy go analogicznie do kwadratu - jedyna różnica jest taka, że ma on 5 rogów zamiast 4.

Rząd 1: Zacznij od magicznego kółka. W magicznym kółku zrób 4 oczka łańcuszka. Alternatywnie, jeśli magiczne kółko sprawia Ci trudność, zacznij od 4 oczek łańcuszka, połącz je w okrąg i przerabiaj pierwszy rząd do środka okręgu.

Zacznij tworzyć “klastry” czyli zbitki 3 słupków. Zrób 3 słupki, 2 oczka łańcuszka, 3 słupki, 2 oczka łańcuszka, 3 słupki, 2 oczka łańcuszka, 3 słupki, 2 oczka łańcuszka, 2 słupki. 

Połącz oczkiem ścisłym pod łańcuszkiem z początku tego rzędu. Dodatkowe oczko, które tam zrobiłaś stworzy idealny róg naszego pięciokąta - taki sam efekt jak dają w innych rogach dwa oczka łańcuszka. Zakończ, odetnij włóczkę.

Rząd 2: Przyłącz kolejny kolor w jednym w rogów pięciokąta. 
Ja wykorzystuję do tego zawsze róg najbliższy do tego, w którym skończyłam rząd poprzedni, idąc zgodnie z ruchem wskazówek zegara (= na prawo od rogu, w którym zakończyłam).

Zrób 4 oczka łańcuszka. W każdej przestrzeni między klastrami dodaj 3 słupki (klaster). Powiększaj pięciokąt w każdym jego rogu dodając tam: 3 słupki, 2 oczka łańcuszka, 3 słupki. 

Uwaga! Ostatni klaster tego rzędu ma tylko 2 słupki, bo łączysz go oczkiem ścisłym z łańcuszkiem (tutaj jako 1 słupek). Zakończ, odetnij włóczkę.

Rzędy 3-5: Powtarzaj identycznie jak rząd 2. Dołącz nowy kolor w rogu robótki, w każdej przestrzeni między klastrami dodaj 3 słupki (klaster). Powiększaj w każdym rogu przez: 3 słupki, 2 oczka łańcuszka, 3 słupki. W ostatnim klastrze w rzędzie dodaj 2 słupki, połącz oczkiem ścisłym z łańcuszkiem. Zakończ, odetnij włóczkę.

Zwróć uwagę na to, że pięciokąt przerabiamy w 5 rzędach, a tylko kwadraty mają o 1 rząd mniej. Nadrobimy tę różnicę podczas łączenia metodą join-as-you-go.
"
joining-1,Łączenie,Jak połączyć kwadraty,łączenie | join as you go | join-as-you-go | zszywanie | jak połączyć | jak zszyć,3,"Przygotuj pięciokąt (wykonany z 5 rzędów) oraz 5 kwadratów (wykonanych z 4 rzędów). Ilustracja poniżej przestawia kolejność przerabiania boków.

Zacznij w dowolnym rogu kwadratu, zrób 4 oczka łańcuszka i 3 słupki. Na końcu łączenia wrócimy do tego rogu, żeby go dokończyć. Wzdłuż całego boku dodawaj po 1 klastrze z 3 słupków w każdej przestrzeni, zupełnie tak jak zwykle przerabiasz kwadrat. Kiedy znajdziesz się w kolejnym rogu przerób: 3 słupki i 1 oczko łańcuszka, a następnie zrób oczko ścisłe do rogu pięciokąta (spójrz na kółko z oznaczeniem “P” na powyższym obrazku). Zrób oczko łańcuszka, w tym samym rogu kwadratu dodaj jeszcze 3 słupki i znowu połącz oczkiem ścisłym, w kolejnej przestrzeni. Powtarzaj schemat 3 słupki - dołącz oczkiem ścisłym aż dotrzesz do kolejnego rogu.

Jeśli spojrzysz na ilustrację na poprzedniej stronie, mamy już przerobione boki 1 i 2. W rogu zrób 3 słupki, 1 oczko łańcuszka i dołącz do rogu pięciokąta (Q) oczkiem ścisłym. Przerób 1 oczko łańcuszka i jeszcze 3 słupki w rogu. Bok 3 przerób jak normalnie w kwadracie, a w kolejnym rogu zrób 3 słupki i 2 oczka łańcuszka - po tym zatrzymaj się. Nie kończ tego rogu!

Teraz czas na dołączenie kolejnego kwadratu. Przerób 3 słupki w jego rogu, dołącz oczkiem ścisłym do przestrzeni między klastrami w poprzednim kwadracie (mowa o boku 3). Przerabiaj tak do kolejnego rogu. W rogu przerób 3 słupki, 1 oczko łańcuszka i dołącz oczkiem ścisłym do rogu pięciokąta (Q). Zrób 1 oczko łańcuszka, 3 słupki w tym samym rogu kwadratu i przerabiaj bok 5 identycznie do boku 2.

Kontynuuj w ten sam sposób dookoła, a bok 15 połącz z bokiem 1. Teraz czas na dolne krawędzie kwadratów. Wzdłuż boków przerabiaj normalnie, jak w kwadracie (po 1 klastrze z 3 słupków w przestrzeni), a w rogach: 3 słupki, 1 oczko łańcuszka - dołącz oczkiem ścisłym do 2 oczek łańcuszka (Pamiętasz te 2 oczka łańcuszka, które robiłyśmy zanim dołączyłyśmy nowy kwadrat? Właśnie o nie chodzi.) - znowu zrób 1 oczko łańcuszka i dodaj 3 słupki w rogu kolejnego kwadratu. Kiedy przejdziesz przez wszystkie kwadraty i wrócisz do rogu, od którego zaczynałaś cały ten długaśny rząd (na ilustracji miejsce START), dodaj tam 2 słupki i połącz pod początkowe 4 oczka łańcuszka.

Uff, najtrudniejsze za nami!
"
brim-1,Rant,Jak zrobić rant kapelusza,rant | rondo | brzeg | brzeg kapelusza | obrzeże | półsłupki,3,"Na start przerobimy jeszcze jeden rząd ściegiem babcinym, a potem przechodzimy do rzędów półsłupkami.

Dołącz nowy kolor włóczki w dowolnej przestrzeni i przerabiaj po 3 słupki w każdej przestrzeni. W miejscach, gdzie 2 kwadraty się łączą dodaj: 2 słupki w rogu jednego kwadratu i 2 słupki w rogu drugiego kwadratu. Spójrz na ilustrację poniżej.

Od tego momentu zaczynają się rzędy półsłupków.

1. Dołącz nowy kolor włóczki w dowolnym oczku. Zrób jedno oczko łańcuszka (nie liczy się jako półsłupek). W tym samym oczku zrób 1 półsłupek. Do każdego oczka dookoła rzędu dodaj po 1 półsłupku. Zamknij oczkiem ścisłym do pierwszego półsłupka z rzędu.(80)

2. Zrób 1 oczko łańcuszka. Przerabiaj po 1 półsłupku do każdego oczka. Połącz oczkiem ścisłym do 1. półsłupka z rzędu. (80)

3. Zrób 1 oczko łańcuszka. W kolejnych 4 oczkach dodaj po 1 półsłupku, w kolejnym oczku powiększenie. 

Powiększenie = 2 półsłupki do jednego oczka. Powtarzaj *4 półsłupków, powiększenie* dookoła, na końcu zamknij oczkiem ścisłym do 1. półsłupka z rzędu. Zakończ, odetnij włóczkę. (96)

4. Dołącz nowy kolor włóczki w dowolnym oczku. Zrób 1 oczko łańcuszka. W kolejnych 5 oczkach dodaj po 1 półsłupku, w kolejnym oczku powiększenie. Powtarzaj *5 półsłupków, powiększenie* dookoła, na końcu zamknij oczkiem ścisłym do 1. półsłupka z rzędu. (112)

5. Zrób 1 oczko łańcuszka. W kolejnych 6 oczkach dodaj po 1 półsłupku, w kolejnym oczku powiększenie. Powtarzaj *6 półsłupków, powiększenie* dookoła, na końcu zamknij oczkiem ścisłym do 1. półsłupka z rzędu. (128)

6. Zrób 1 oczko łańcuszka. W kolejnych 7 oczkach dodaj po 1 półsłupku, w kolejnym oczku powiększenie. Powtarzaj *7 półsłupków, powiększenie* dookoła, na końcu zamknij oczkiem ścisłym do 1. półsłupka z rzędu. Zakończ, odetnij włóczkę. (144)

7. Dołącz nowy kolor włóczki w dowolnym oczku. Zrób 1 oczko łańcuszka. W kolejnych 8 oczkach dodaj po 1 półsłupku, w kolejnym oczku powiększenie. Powtarzaj *8 półsłupków, powiększenie* dookoła, na końcu zamknij oczkiem ścisłym do 1. półsłupka z rzędu. (160)

8. Zrób 1 oczko łańcuszka. Przerabiaj po 1 półsłupku do każdego oczka. Połącz oczkiem ścisłym do 1. półsłupka z rzędu. (160)

9. Zrób 1 oczko łańcuszka. Przerabiaj po 1 półsłupku do każdego oczka. Połącz oczkiem ścisłym do 1. półsłupka z rzędu. Zakończ, odetnij włóczkę.  (160)"
finishing-1,Wszywanie końców,Jak ukryć nitki,wykończenie | wszywanie | chowanie nitek | igła,2,"Przewróć kapelusz na lewą stronę i powszywaj wszystkie luźne końce włóczki, a nadmiar odetnij. Kapelusz jest już gotowy."
copyright,Informacje,Prawa autorskie,prawa autorskie | udostępnianie | sprzedaż,1,"Wszelkie prawa zastrzeżone.
© 2026 Kaja Polachowska, Miłe Rzeczy

Niniejszy poradnik oraz jego zawartość, w tym teksty, grafiki, zdjęcia, ilustracje i inne materiały, są chronione prawem autorskim. Kopiowanie, rozpowszechnianie, udostępnianie lub jakiekolwiek inne wykorzystanie całości lub części tego poradnika bez uprzedniej, pisemnej zgody autorki jest zabronione. Poradnik przeznaczony jest wyłącznie do użytku osobistego – proszę nie udostępniać go osobom trzecim ani publikować jego treści w internecie.

Nie wyrażam zgody na tworzenie i publikowanie tutoriali, kursów, artykułów instruktażowych ani innych materiałów typu „how-to”, które w całości lub w istotnej części opierają się na wzorach i instrukcjach zawartych w tym poradniku.

Możesz natomiast wykonywać i sprzedawać produkty stworzone na podstawie zawartych tu wzorów. Będzie mi bardzo miło, jeśli przy ich prezentacji lub sprzedaży oznaczysz, że autorką wzoru jest Kaja Polachowska – Miłe Rzeczy.
Wszelkie użycie tego materiału w celach komercyjnych lub innych niż dozwolone przepisami prawa może skutkować odpowiedzialnością prawną.
Jeśli chcesz wykorzystać jakąkolwiek część tego poradnika w sposób wykraczający poza powyższe zasady, skontaktuj się ze mną.
Więcej informacji o marce Miłe Rzeczy i ofercie znajdziesz na stronie milerzeczy.com."